id,municipio,mesorregiao,microregiao
136,Paramoti,Norte,Canindé
137,Pedra Branca,Sertões,Sertão de Senador Pompeu
138,Penaforte,Sul,Brejo Santo
139,Pentecoste,Norte,Médio Curu
140,Pereiro,Jaguaribe,Serra do Pereiro
141,Pindoretama,Norte,Cascavel
142,Piquet Carneiro,Sertões,Sertão de Senador Pompeu
143,Pires Ferreira,Noroeste,Ipu
144,Poranga,Noroeste,Ipu
145,Porteiras,Sul,Cariri
146,Potengi,Sul,Chapada do Araripe
147,Potiretama,Jaguaribe,Serra do Pereiro
148,Quiterianópolis,Sertões,Sertão de Crateús
149,Quixadá,Sertões,Sertão de Quixeramobim
150,Quixelô,Centro-Sul Cearense,Iguatu
151,Quixeramobim,Sertões,Sertão de Quixeramobim
152,Quixeré,Jaguaribe,Baixo Jaguaribe
153,Redenção,Norte,Baturité
154,Reriutaba,Noroeste,Ipu
155,Russas,Jaguaribe,Baixo Jaguaribe
156,Saboeiro,Sertões,Sertão de Inhamuns
157,Salitre,Sul,Chapada do Araripe
158,Santa Quitéria,Noroeste,Santa Quitéria
159,Santana do Acaraú,Noroeste,Sobral
160,Santana do Cariri,Sul,Cariri
161,São Benedito,Noroeste,Ibiapaba
162,São Gonçalo do Amarante,Norte,Baixo Curu
163,São João do Jaguaribe,Jaguaribe,Baixo Jaguaribe
164,São Luís do Curu,Norte,Médio Curu
165,Senador Pompeu,Sertões,Sertão de Senador Pompeu
166,Senador Sá,Noroeste,Sobral
167,Sobral,Noroeste,Sobral
168,Solonópole,Sertões,Sertão de Senador Pompeu
169,Tabuleiro do Norte,Jaguaribe,Baixo Jaguaribe
170,Tamboril,Sertões,Sertão de Crateús
171,Tarrafas,Centro-Sul Cearense,Várzea Alegre
172,Tauá,Sertões,Sertão de Inhamuns
173,Tejuçuoca,Norte,Médio Curu
174,Tianguá,Noroeste,Ibiapaba
175,Trairi,Norte,Itapipoca
176,Tururu,Norte,Uruburetama
177,Ubajara,Noroeste,Ibiapaba
178,Umari,Centro-Sul Cearense,Lavras da Mangabeira
179,Umirim,Norte,Uruburetama
180,Uruburetama,Norte,Uruburetama
181,Uruoca,Noroeste,Coreaú
182,Varjota,Noroeste,Ipu
183,Várzea Alegre,Centro-Sul Cearense,Várzea Alegre
184,Viçosa do Ceará,Noroeste,Ibiapaba
